n_anchors,room,room_x,room_y,room_z,trajectory,escenario_error,heterogeneo,n_componentes_error,repeat,n_points,n_valid,mean_error_m,rms_error_m,max_error_m,min_error_m,csv_file
3,hab_custom,5,8,3,line,combo_biasn0p02_unifsym0p1,False,2,1,60,60,0.043381327985684205,0.045623101991179915,0.09999801142604199,0.021869977962867233,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p02_unifsym0p1_rep1.csv
3,hab_custom,5,8,3,line,combo_biasn0p02_unifsym0p1,False,2,2,60,60,0.04136147867493235,0.04503861232679925,0.08877725945833165,0.009627104563504815,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p02_unifsym0p1_rep2.csv
3,hab_custom,5,8,3,line,combo_biasn0p02_unifsym0p1,False,2,3,60,60,0.04492261248205492,0.04793937177588781,0.10208289664191873,0.0065824364580832385,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p02_unifsym0p1_rep3.csv
3,hab_custom,5,8,3,line,combo_biasp0p05_unifsym0p05,False,2,1,60,60,0.0750030516545226,0.07657400120933361,0.10624755238357239,0.04155475022413889,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p05_unifsym0p05_rep1.csv
3,hab_custom,5,8,3,line,combo_biasp0p05_unifsym0p05,False,2,2,60,60,0.07605586237667608,0.07786863749023815,0.11089964352643591,0.0429067318111509,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p05_unifsym0p05_rep2.csv
3,hab_custom,5,8,3,line,combo_biasp0p05_unifsym0p05,False,2,3,60,60,0.08217880793463818,0.08430479014343073,0.12487253509580569,0.041485568457648433,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p05_unifsym0p05_rep3.csv
3,hab_custom,5,8,3,line,combo_biasn0p05_unifsym0p05,False,2,1,60,60,0.08183623514142133,0.0841037750945833,0.1231390447047614,0.048051323678444134,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p05_unifsym0p05_rep1.csv
3,hab_custom,5,8,3,line,combo_biasn0p05_unifsym0p05,False,2,2,60,60,0.07966019483918813,0.08184080269432825,0.11997188282041608,0.04743115462892184,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p05_unifsym0p05_rep2.csv
3,hab_custom,5,8,3,line,combo_biasn0p05_unifsym0p05,False,2,3,60,60,0.0803373648589921,0.08370123480658534,0.1302944187251118,0.039141583102286485,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p05_unifsym0p05_rep3.csv
3,hab_custom,5,8,3,line,combo_biasp0p05_unifsym0p1,False,2,1,60,60,0.0827574974821181,0.08537699235833852,0.1140113291550511,0.03446970210203865,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p05_unifsym0p1_rep1.csv
3,hab_custom,5,8,3,line,combo_biasp0p05_unifsym0p1,False,2,2,60,60,0.08115490733939866,0.08461258935681745,0.1313681841181758,0.03503711614805437,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p05_unifsym0p1_rep2.csv
3,hab_custom,5,8,3,line,combo_biasp0p05_unifsym0p1,False,2,3,60,60,0.08306285943564239,0.08664396021416279,0.1385259640289937,0.040973040707593195,simulacion_uwb_3anclas_hab_custom_line_combo_biasp0p05_unifsym0p1_rep3.csv
3,hab_custom,5,8,3,line,combo_biasn0p05_unifsym0p1,False,2,1,60,60,0.08488654082770004,0.09014569116954547,0.17049152522051275,0.03832885265893014,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p05_unifsym0p1_rep1.csv
3,hab_custom,5,8,3,line,combo_biasn0p05_unifsym0p1,False,2,2,60,60,0.0757423190454541,0.07721846700277,0.1067612002718937,0.034852337930646904,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p05_unifsym0p1_rep2.csv
3,hab_custom,5,8,3,line,combo_biasn0p05_unifsym0p1,False,2,3,60,60,0.07636847803614068,0.07840524887459488,0.12146935650420923,0.038252397161380604,simulacion_uwb_3anclas_hab_custom_line_combo_biasn0p05_unifsym0p1_rep3.csv
3,hab_custom,5,8,3,line,combo_gausss0p02_unifsym0p05,False,2,1,60,60,0.02684625377586796,0.030346336010763805,0.059013426921712964,0.004179346837996305,simulacion_uwb_3anclas_hab_custom_line_combo_gausss0p02_unifsym0p05_rep1.csv
